Software QA Checklist,,,,,,,,,
Project Name,,Transit.sa,,,,,,,
Tester Name,,Salma Tarek,,,,,,,
Date,,21\9\2023,,,,,,,
Test case ID,Priority,Dev. Status ,Description,ScreenShot,Date Opened,Date Closed,Comments,,
32,High,solved, In duration some of them work and some not,https://app.gemoo.com/share/image-annotation/563445589964660736?codeId=M03m7xlnWk2qZ&origin=imageurlgenerator,9/21/2023,,,,
33,Urgent,solved, The button to show flight 3 days is not working.,https://app.gemoo.com/share/image-annotation/563445898451525632?codeId=Ml3xleZlq9jXW&origin=imageurlgenerator,9/21/2023,,"not exist ""removed""",,
34,Urgent,solved, In modify search the n. of travelers can’t be down just up or if I want to put lower n. of traveler types it by myself  (i mean the check bar ) ,https://app.gemoo.com/share/image-annotation/563447985277157376?codeId=M03maA6XkzqeN&origin=imageurlgenerator,9/21/2023,9/30/2023,,,
35,Urgent,solved, When choose from trips 2 trips and go to continue to the payment:  The total price to be paid is different,https://app.gemoo.com/share/image-annotation/563448369689288704?codeId=Pa6KZwq7JyZzb&origin=imageurlgenerator,9/21/2023,9/30/2023,,,
36,Urgent,solved, This process in payment is 45000 and in total price It doubled but when I opened this breakdown it gives me this price,https://app.gemoo.com/share/image-annotation/563448369689288704?codeId=Pa6KZwq7JyZzb&origin=imageurlgenerator,9/21/2023,9/30/2023,,,
37,Urgent,solved,This process in payment is 45000 and in total price It doubled but when I opened this breakdown it gives me this price,https://app.gemoo.com/share/image-annotation/563448369689288704?codeId=Pa6KZwq7JyZzb&origin=imageurlgenerator,9/21/2023,9/30/2023,,,
38,Medium,solved,In payment section there are some words that is not written well and contain fmt.xxxx,https://app.gemoo.com/share/image-annotation/563448369689288704?codeId=Pa6KZwq7JyZzb&origin=imageurlgenerator,9/21/2023,9/30/2023,,,
39,Medium,solved, In passenger details in this flexibility part when open the rules this tabs of rules is too small and I don’t know what is written in this rule,https://app.gemoo.com/share/image-annotation/563449879470981120?codeId=Pa6KZERV9leLZ&origin=imageurlgenerator,9/21/2023,,,,
40,Medium,solved,In payment section there are some words that is not written well and contain fmt.xxxx,https://app.gemoo.com/share/image-annotation/563448369689288704?codeId=Pa6KZwq7JyZzb&origin=imageurlgenerator,9/21/2023,,,,
41,Medium,solved, The logo of behance is not necessary here,https://app.gemoo.com/share/image-annotation/563451545477873664?codeId=P5pmaX1bLA8xN&origin=imageurlgenerator,9/21/2023,9/26/2023,,,
42,Urgent,In development,In hotel section : when search for any hotel it gives me “no result found”,https://app.gemoo.com/share/image-annotation/563452182907232256?codeId=M03ma9E3kaJW3&origin=imageurlgenerator,9/21/2023,,,,
43,Medium,solved,The words written shape is not good that contain fmt.xxx,https://app.gemoo.com/share/image-annotation/563452468170235904?codeId=DW49LNyZaBEY4&origin=imageurlgenerator,9/21/2023,,,,
44,Medium,In development," All these options have no data in it, and it redirects me to another page with no result found",https://app.gemoo.com/share/image-annotation/563452468170235904?codeId=DW49LNyZaBEY4&origin=imageurlgenerator,9/21/2023,,,,
45,Medium,solved, When press the button it goes to this page when I press on any view of these it gives me no result,https://app.gemoo.com/share/image-annotation/563452979539779584?codeId=v69magVjn7AmJ&origin=imageurlgenerator,9/21/2023,,,,
46,Medium,solved, The words written shape is not good.,https://app.gemoo.com/share/image-annotation/563453371933691904?codeId=vz2BaxAyEEqnz&origin=imageurlgenerator,9/21/2023,,,,
47,High,solved, When press the button it contains data that contains nothing in it in destination and hotels like these options,https://app.gemoo.com/share/image-annotation/563453371933691904?codeId=vz2BaxAyEEqnz&origin=imageurlgenerator,9/21/2023,,,,
48,High,In development, In transfer when search for any transportation it gives me “no result found”,https://app.gemoo.com/share/image-annotation/563453995031109632?codeId=DW49LLkxe9NX4&origin=imageurlgenerator,9/21/2023,,,,
49,Medium,solved,the arrow that take me to the upper page dissappear in the footer,https://jam.dev/c/f96176f7-4046-48a3-a10f-e978d6b1257d,9/23/2023,,,,
50,Medium,solved, The logos of Instagram and LinkedIn and behance are not working and it refreshes the page and the bar code as well.,https://app.gemoo.com/share/image-annotation/563451545477873664?codeId=P5pmaX1bLA8xN&origin=imageurlgenerator,9/21/2023,,,,
,,,IN ARABIC,,,,,,
51,Urgent,solved, Not all data is Arabic the buttons are in English and most of the website is not in Arabic.,https://app.gemoo.com/share/image-annotation/563454948555796480?codeId=Ml3xa1ay0q5Yb&origin=imageurlgenerator,9/21/2023,,,,
52,Urgent,solved,This modify search button doesn’t work if the language is Arabic.,https://app.gemoo.com/share/image-annotation/563454948555796480?codeId=Ml3xa1ay0q5Yb&origin=imageurlgenerator,9/21/2023,,when i changed the country it redirects me to the home page ,,
53,Urgent,solved,  Not all data is Arabic.,,9/21/2023,,,,
54,Medium,solved,"this search bar in flight the word search is ""btn.search"" and in visa ""btn.search""",https://app.gemoo.com/share/image-annotation/564548960234704896?codeId=vz2WmxZeEaG5z&origin=imageurlgenerator,9/24/2023,,,,
55,Urgent,solved,  The search engine in this bar is not working,https://app.gemoo.com/share/image-annotation/563455719112355840?codeId=Pa6KZyqQJkEl3&origin=imageurlgenerator,9/21/2023,,just worked once ,,
56,Urgent,solved,when i type any country in arabic it doesn't give me anything ,https://app.gemoo.com/share/image-annotation/563455719112355840?codeId=Pa6KZyqQJkEl3&origin=imageurlgenerator,9/21/2023,,,,
57,Urgent,solved, when select go and return it didn’t forward me to the offer,https://app.gemoo.com/share/image-annotation/563455938042433536?codeId=v69maXJqbGyk9&origin=imageurlgenerator,9/21/2023,,,,
58,Urgent,In development,"In transportation in Arabic, it didn’t search for any city and the search engine is not working.",https://app.gemoo.com/share/image-annotation/563456172353032192?codeId=Pa6KZKAmB5OmG&origin=imageurlgenerator,9/21/2023,,,,
59,Urgent,In development,"in hotels in arabic :In n. of rooms, I don’t know what this selection is engine. ",https://app.gemoo.com/share/image-annotation/563456276254330880?codeId=v69mamm2oLAg9&origin=imageurlgenerator,9/21/2023,,,,
60,High,solved,dates in arabic need to be in english,https://jam.dev/c/ae866d31-92c0-492e-a389-64889c388451,9/27/2023,,,,
61,High,solved,Please prevent client from typing anything in passenger filed ,https://jam.dev/c/ae866d31-92c0-492e-a389-64889c388451,9/27/2023,,,,
62,Urgent,solved,the calendar typing method is not recognizable.,https://app.gemoo.com/share/image-annotation/563456276254330880?codeId=v69mamm2oLAg9&origin=imageurlgenerator,9/21/2023,,,,
63,Urgent,solved, In Arabic version not all data in footer is in Arabic,https://app.gemoo.com/share/image-annotation/563451545477873664?codeId=P5pmaX1bLA8xN&origin=imageurlgenerator,9/21/2023,,,,
64,Medium,solved,The sentence customer services are not in its right place needed to shift down,https://app.gemoo.com/share/image-annotation/563451545477873664?codeId=P5pmaX1bLA8xN&origin=imageurlgenerator,9/21/2023,,,,
65,Medium,solved,in the home page in arabic vesion when i click on one of the flight in the best offers it redirect me to flights and the page became in english view,,10/2/2023,,,,
66,High,solved,if i changed the currency this don't change,https://jam.dev/c/1696c73e-2e59-4326-95de-b1fd703983c4,10/2/2023,,the currency is not shown,,
67,High,In development,countries in arabic website need to be written in arabic in visa and in search,,10/3/2023,,,,
MOBIL VIEW,,,,,,,,,
68,High,solved,The bar of utilities is bigger than the view.,https://app.gemoo.com/share/image-annotation/563456647555092480?codeId=P5pma9n9yQ7p9&origin=imageurlgenerator,9/21/2023,,,,
69,High,solved, In payment process the words are bigger than the page,https://app.gemoo.com/share/image-annotation/563456890292047872?codeId=M03ma6obAwQnN&origin=imageurlgenerator,9/21/2023,,,,
70,High,solved,fmt format,https://app.gemoo.com/share/image-annotation/563456890292047872?codeId=M03ma6obAwQnN&origin=imageurlgenerator,9/21/2023,,,,
71,High,solved, When in search in hotels it gives me this:,https://app.gemoo.com/share/image-annotation/563457190201565184?codeId=PY48L9kleaG7Z&origin=imageurlgenerator,9/21/2023,,,,
72,High,solved,And the bars under this message not right,https://app.gemoo.com/share/image-annotation/563457190201565184?codeId=PY48L9kleaG7Z&origin=imageurlgenerator,9/21/2023,,,,
73,High,solved, When I choose a random trip for departure and return it gave me this message,https://app.gemoo.com/share/image-annotation/563457352097505280?codeId=M03maQrQngB53&origin=imageurlgenerator,9/21/2023,,,,
74,Urgent,solved,In the home page there isn’t department for language and money type,,9/21/2023,,,,
75,Medium,solved,this arrow is to big and above the words it need to be removed in mobile view,https://jam.dev/c/64b48437-9683-4b43-a451-776fec8cedc5,10/2/2023,,,,
76,Medium,solved,the arrow in currency is not in the right position,https://jam.dev/c/aa58d305-d16d-48d9-bd64-9ac0b47794e4,10/3/2023,,,,
,,,NEW CASES,,,,,,
77,High,solved,After signing up it redirects me to page that contains words that is not seen and with white font that contains that there is an activation link will send to my email and nothing sent yet ,https://app.gemoo.com/share/image-annotation/564157740144594944?codeId=Pa6QR3nodzg03&origin=imageurlgenerator,9/23/2023,,,,
78,Medium,solved,fmt format,https://app.gemoo.com/share/image-annotation/564157740144594944?codeId=Pa6QR3nodzg03&origin=imageurlgenerator,9/23/2023,,,,
79,Urgent,solved,when sign in with my email it said that the email or password are incorrect,https://app.gemoo.com/share/image-annotation/564160015441289216?codeId=v69oX6n68gjyl&origin=imageurlgenerator,9/23/2023,,,,
80,Medium,solved,when press forgot password it redirects me to this that contains words with fmt.xxxxx,https://app.gemoo.com/share/image-annotation/564161083810185216?codeId=M03YJE5QWrE6R&origin=imageurlgenerator,9/23/2023,,,,
81,,Solved,After i forgot passwrod  it redirects me to page that contain words that is not seen with white font that contain that there is an activation link will send to my email and nothing sent yet,https://app.gemoo.com/share/image-annotation/564161083810185216?codeId=M03YJE5QWrE6R&origin=imageurlgenerator,9/23/2023,,,,
82,Medium,solved,in language russian not all the website in the same language it is mix between this language and english,,9/23/2023,,,,
83,Urgent,Solved,we need to change the phone number of the website,,9/26/2023,,,,
84,Urgent,Solved,in dashboard when i need to change attributes it updates but not return in the website,,9/26/2023,,,,
85,Urgent,Solved,from 775x654 to 990x654 the nav bar not found ,,9/26/2023,,,,
86,High,solved,the arrows that should open the selection in class and traveler do not open i need to click on the word to open the selection,https://jam.dev/c/5fe85034-173c-4f4f-b6d3-d1874e11961f,9/30/2023,,,,
87,Medium,solved,the arrows that should open the selection in class and traveler do not open i need to click on the word to open the selection,https://jam.dev/c/1726c921-91eb-42bc-9a3d-3b89f3585942     ,9/27/2023,,,,
88,Medium,solved,when i choose children in traveler i don't write that there are any children,https://jam.dev/c/1726c921-91eb-42bc-9a3d-3b89f3585942,9/27/2023,,,,
89,High,solved,in flights in best offer the sentence per person written as fmt.xxxx,,9/27/2023,,,,
90,Medium,In development,"The footer isn't alligned well.
  The spaces between the columns are not  as the design file",https://jam.dev/c/87442cd2-88b3-4a05-8d61-83185dead105,9/27/2023,,,,
91,Medium,solved,the flag in the nav bar is not correct,,9/27/2023,,,,
92,Urgent,solved,in return baggage i need selections in it as departure,https://jam.dev/c/7cf5c337-3d7e-4110-8b51-ebee39efe7ea,9/27/2023,,,,
93,High,solved,in the price when i select an offer it is written that the price is null,https://jam.dev/c/05332aa7-a6ec-457e-bd72-94ebb653bdb5,9/27/2023,,,,
94,Urgent,Solved,In modify search the n. of travelers can’t be down just up or if I want to put lower n. of traveler types it by myself (i mean the check bar ),https://jam.dev/c/5fe85034-173c-4f4f-b6d3-d1874e11961f,9/30/2023,,there is no chance to change the n. of passenger from the modify search,,
95,Urgent,In development,"Contact us form doesn't clear fileds after user click on send ,no validation for mobile number length , user should be infomed with alert or pop up (We have been received your message ,thanks for contact us) and must be insert a text box to allow user to write his message.",https://app.gemoo.com/share/image-annotation/563444848571105280?codeId=DW49lVrVJVAor&origin=imageurlgenerator,9/30/2023,,contact us is not working,,
96,Medium,solved,from 775x654 to 990x654 this happens,https://app.gemoo.com/share/image-annotation/567032422531321856?codeId=PY4RwVNJyngVQ&origin=imageurlgenerator,10/1/2023,,,,
97,Medium,solved,"when i choose flight and select one it redirect me to continue to payment and when i select return flight it redirect me to the footer section ""this happens sometimes and someimes not",https://jam.dev/c/24008e34-7ce8-4fcf-9d6f-7220fbb554fc,10/1/2023,,,,
98,Medium,In development,in newsletter it redirect my to arabjet when i subscribed and even if i didn't type any email address,,10/1/2023,,,,
99,Medium,solved,from 775x654 to 990x654 this happens,https://app.gemoo.com/share/image-annotation/567039325789491200?codeId=vz2wEpZjBWO81&origin=imageurlgenerator,10/1/2023,,,,
100,Medium,Solved,this happens when i open the n. of travelers,https://app.gemoo.com/share/image-annotation/567039859464343552?codeId=P5pqOZ995N2qp&origin=imageurlgenerator,10/1/2023,,,,
101,Urgent,In development,flight-search ==> there is no paginaton which increase the running time of the page,,10/1/2023,,,,
102,Urgent,solved,the waiting in the website in the flight options is in jeddah only the data is not changeable,,10/1/2023,,,,
103,Urgent,solved,when i open flights i need to not press on anything untill the page finish loading or the website will fall,,10/1/2023,,,,
104,High,Solved,why this happen?,https://jam.dev/c/83531716-69b3-45f2-a87d-a1a6e898945d,10/1/2023,,,,
105,High,In development,in search engine for hotels if i write one hotel it gives me nothing i need to search in the country to get me all the booking in hotels,,10/1/2023,,,,
106,Urgent,solved,return stops has no selections in it,https://jam.dev/c/99b7aa0a-d4b4-4e5b-897f-90f47f55330e,10/2/2023,,,,
107,Urgent,solved,we need arabic of saudi arabia to be the default with saudi arabia flag not egypt,https://jam.dev/c/963c9232-cdce-4432-8c99-041dc48545d9,10/2/2023,,,,
108,High,In development,the name of the country need to be in arabic in arabic version,https://jam.dev/c/95ec26c1-466b-46cd-9a89-7659c9132ceb,10/2/2023,,,,
109,Medium,solved,only flights with stops shown i don't see any flight with non stop,,10/2/2023,,,,
110,High,solved,this whatsapp number does not redirect me to whatsapp,https://jam.dev/c/c50b6ffa-b73d-4aa9-b734-4188cf8a1e3c,10/2/2023,,,,
111,Medium,solved,these logos need to have the same opacity,https://jam.dev/c/7a13e3d8-4f81-4110-8d98-59df06d18a24,10/2/2023,,,,
112,Medium,solved,the word sign up is not shown in arabic version and need to be another color,https://jam.dev/c/c2697841-d78a-448a-949d-f22500858902,10/3/2023,,,,
113,Urgent,In development,"there is no validation on the length of phone number in details of passengers
HINT: when i type any number with any length like 00 request sent wihout any validation",https://jam.dev/c/7019f37a-8f08-46c0-ac65-87621348bc27,10/4/2023,,,,
114,Urgent,solved,there is no validation in age of adult and children and Infants details of flight.  EX: I can choose any birthdate without any restriction,https://jam.dev/c/7019f37a-8f08-46c0-ac65-87621348bc27,10/4/2023,,"not working yet
i chose any date but it gives me the year 2023",,
115,Urgent,solved,email is not valid in details of pasenger (real time validation),,10/4/2023,,"when i type any email it validate @ only not the dot in the end of the email  
and it sends request to the server not accept it from the client\",,
116,Medium,solved,this scroll move from its place as shown in the video,https://jam.dev/c/d956f100-da7b-46ad-9b2b-3bf8d556136d,10/9/2023,,,,
117,Urgent,Solved,when i choose a flight and then need to unselect it i can't do this step,https://jam.dev/c/e7213cfe-77bb-4362-aaf9-ae040bf0905f,10/9/2023,,,,
118,Urgent,solved,when i choose a flight the price is null??,https://jam.dev/c/dab93764-298b-4c44-8971-c7be3b7c7a61,10/9/2023,,,,
119,Urgent,Solved,time of flight not recognaizable,https://jam.dev/c/55e96e2b-4119-4a57-990b-bb89870972d3,10/9/2023,,it is not solved in the details of the trip https://jam.dev/c/6dafdf84-c9fe-4359-a8d8-097b4b6bfb47 this is the website in english and this in arabic the n. of hourse is in the right not next to the others https://jam.dev/c/da55614f-5b51-4be0-a237-5607a42d1df4 ,,
120,High,solved,The taxes isn't appearing with arabic ,https://jam.dev/c/f6d0d32a-9ec7-4b88-b3e9-99ba7d70d401,10/9/2023,,,,
121,Urgent,In development,the rules for flights isn't appreaing if it's refundable it only appears if it is not refundable,https://jam.dev/c/8bc60bb6-ece6-44dd-b925-13c2b6f8f14d,10/9/2023,,,,
122,High,Solved,duration is not recognizable what is the take off time and what is the landing time and what is this slider  (UX Issue) we can adding numeric label on each side above slider that will describe filter,https://jam.dev/c/e5454583-4760-4f9e-8b8a-5b8bfea691e4,10/9/2023,,and it dissappears right after i chose anything,,
123,High,In development,the days in calender is not recognized well (Can we appear the days with full name in AR ),https://jam.dev/c/f5c0f31c-b79f-4a3b-8b2b-3132609668b7,10/9/2023,,,,
124,Urgent,solved,departure and return flight is in the same time and its impossible,https://jam.dev/c/30edb2d2-3c70-466e-a39d-9d7e44b48113,10/9/2023,,,,
125,High,solved,in rules the page is too long,https://jam.dev/c/3dc95c0f-d9d6-4368-a4ba-56a0b88d1a06,10/9/2023,,,,
126,Urgent,solved,in return the details of the flight it must be cairo but it is in doha and it is wrong,https://app.gemoo.com/share/image-annotation/570377543259852800?codeId=vJ9yNBeGGxOyg&origin=imageurlgenerator,,,,,
127,Urgent,solved,according to 101 and 126 points when i choose a flight and select a flight the button become blue and the word select still select not selected and i can't return my selection again i need to reload the page to select any other flight ,https://jam.dev/c/a82bab7f-6acb-4a4b-83bc-7bc5f60f7793,,,,,
128,Medium,In development,"when i open a flight details the"" more details"" need to become"" less details""",https://jam.dev/c/f3506eae-93f9-442e-8dc7-45dfa09938e7,10/16/2023,,,,
129,Medium,solved,when i added some message key on the dashboard in the next day i didn't find it,,,,,,
130,Urgent,solved,the summation of these 2 flights is not right,https://jam.dev/c/b04411ab-edca-438a-b8b1-bc9cfb1b4bc6,,,,,
131,Medium,solved,the shape of this reset prices is not defind well as a user,https://jam.dev/c/b04411ab-edca-438a-b8b1-bc9cfb1b4bc6,,,,,
132,Urgent,solved,in filter search the return stops has no selections in it,,,,,,
133,Urgent,solved,in filter search the return baggages has no selections in it,,,,,,
134,High,solved,i changed this sentence in the dashboard yesterday and still not working,"https://jam.dev/c/d42b30e0-e367-463c-8233-cffed1b29b83      

https://jam.dev/c/5d5cc404-d2df-4e76-9a03-caa2e9b65e78                     ",,,,,
135,Medium,Solved,in airports search only 2 airports shown,,,,,,
136,Urgent,solved,this reset filter don't appear until i select any flight,https://jam.dev/c/04e8bb02-66df-4e9c-9121-bb80797d0bbc,,,,,
137,Medium,solved,in mobile view the offers is shifted outside the view,https://jam.dev/c/5487ac92-6552-427c-b291-70f0325fc67f,,,,,
138,,solved,in mobile view this happened in contact us,https://jam.dev/c/3f422cb5-6031-4fbc-8ed6-6a673f1ea48f,,,,,
139,Urgent,solved,when i search for a trip and is not exist it remains in the same page and as user i don't know if this trip is not found or it needs to forward me to this page  ,https://xd.adobe.com/view/e3e62433-a402-4100-9356-35633cf67d8b-b6b5/screen/909f7e7e-508b-427e-8a99-de8b17827ec4/,10/16/2023,,,,
140,Urgent,solved,"Rules For flights if can we hide it and only showing the ticket is refundable or nonrefundable as starter only to we gonna live asap ,because the design of rules isn't clear",,,,,,
141,Urgent,solved,all the logos are inverted in flight search page,https://jam.dev/c/0b7ab95c-2b4a-4cb6-8a0a-600e0686065b,,,,,
142,Urgent,In development,"in the payment details:  the price was 1016 SAR and when i change the currency to egyption pounds it become 10209 EGP(and it is incorrect )
(We need to be up todate with the international exchange rate) 
after that i changed the currency again to SAR it becomes 1126 SAR  (and it is incorrect too)",,10/18/2023,,Exchange in Egyptian pound,,
143,Urgent,Solved,in the e-ticket it does not contain ticket number,https://app.gemoo.com/share/image-annotation/575418746993127424?codeId=DW25rRA1zZb6g&origin=imageurlgenerator,10/19/2023,,,,
144,Medium,In development,in the e-ticket it does not contain the seat number in case if it's applicable in the flight by airline,https://app.gemoo.com/share/image-annotation/575418746993127424?codeId=DW25rRA1zZb6g&origin=imageurlgenerator,10/19/2023,,,,
145,Urgent,In development,in the e-ticket it does not contain transit reservation number,https://app.gemoo.com/share/image-annotation/575418746993127424?codeId=DW25rRA1zZb6g&origin=imageurlgenerator,10/19/2023,,,,
146,,In development,,,,,,,
147,Medium,In development,in the e-ticket it does not contain if there is a meal if it's applicable in the flight by airline,https://app.gemoo.com/share/image-annotation/575418746993127424?codeId=DW25rRA1zZb6g&origin=imageurlgenerator,10/19/2023,,,,
148,Urgent,In development,what is fuel and other in the e-ticket (Please hide this column from eticket),https://app.gemoo.com/share/image-annotation/575418746993127424?codeId=DW25rRA1zZb6g&origin=imageurlgenerator,10/19/2023,,,,
149,Medium,In development,in the e-ticket it does not contain if there is hand bag,https://app.gemoo.com/share/image-annotation/577628685266391040?codeId=MpEyEmA3zl4Br&origin=imageurlgenerator,10/19/2023,,,,
150,High,In development,in the e-ticket it does not contain the travel checklist ,https://app.gemoo.com/share/image-annotation/577628685266391040?codeId=MpEyEmA3zl4Br&origin=imageurlgenerator,10/19/2023,,,,
151,Urgent,In development,in the e-ticket it does not show contact information of transit even our logo isn't showing in ticket,https://app.gemoo.com/share/image-annotation/575091404101922816?codeId=v6gWlqo33dO5L&origin=imageurlgenerator,10/19/2023,,,,
152,Urgent,solved,"when i choose 2 flights in the same time  it gives me this message ""departuredate.greater.returndate"" that is changed in the dashboard to arabic and to english but still not changed in the website from 2  days         ",,10/22/2023,,,,
153,Urgent,solved,in the flight the baggage is not the same as the filter it still in english ,https://jam.dev/c/5533fb71-5794-40a4-8eb3-7ad9fc4da8ad,10/22/2023,,,,
154,Urgent,solved,the search.filter.46k needs to be removed,https://jam.dev/c/5533fb71-5794-40a4-8eb3-7ad9fc4da8ad,10/22/2023,,,,
155,Urgent,solved,in the mobile view from ios safari browser the contact us bar is with the same size,https://app.gemoo.com/share/image-annotation/574616755228409856?codeId=DW2GBzm4NjrR6&origin=imageurlgenerator,10/22/2023,,,,
156,Urgent,solved,in the mobile view in the search cities the blue header floated left outside to left border,https://app.gemoo.com/share/image-annotation/574622547453165568?codeId=MpEp80ylOVJAq&origin=imageurlgenerator,10/22/2023,,,,
